animationGroupId,clientLabel,tempNo,serverName,enemyIds,floorId,mapName,encounterId,xMin,yMin,xMax,yMax,encounterMin,encounterMax,enemyMax,appearanceItemIds,battleAppearancePercent,expectedBattles,expectedSteps,captureBase,captureItemIds
100257,布伊,13,布伊,160,100,薩伊那斯,38,547,115,699,241,1,5,3,,0.8130081300813009,122.99999999999999,3194.9505395833303,5,
100258,布伊比,14,布伊比,433,200,加魯卡,168,340,170,410,211,1,5,5,,4.761904761904762,21,545.4793604166663,5,
100260,加美,21,加美,455,20301,拉多拉的回廊,210,140,10,210,140,1,8,8,,2.7027027027027026,37,679.8020373094802,7,
100261,加比,22,加比,457,20301,拉多拉的回廊,210,140,10,210,140,1,8,8,,2.7027027027027026,37,679.8020373094802,7,
100262,加比奥,23,加比奥,1230,20307,拉多拉洞窟3樓,501,0,0,99,99,1,3,10,,0.5750027638068544,173.9122075482586,7129.917420013174,5,
100263,加斯,24,加斯,1231,20308,拉多拉洞窟3樓,502,0,0,99,99,1,3,10,,0.5750027638068543,173.91220754825866,7129.917420013176,5,
100264,乌宝宝,31,乌宝宝,369,200,加魯卡,87,550,282,652,403,1,5,2,,28.57142857142857,3.5,90.91322673611104,11,
100265,威威,32,威威,372,200,加魯卡,87,550,282,652,403,1,5,2,,28.57142857142857,3.5,90.91322673611104,11,
100267,威伯,34,威伯,4,816,新手島,910,14,78,109,169,1,5,5,,62.499999999991985,1.6000000000002053,41.56033222222752,11,
100268,贝洛恩,41,贝洛恩,266,10101,往柯爾克的道路1樓,79,1,1,49,49,1,7,3,,2.7027027027027026,37,742.2732843894676,7,
100269,贝洛洛克,42,贝洛洛克,271,10101,往柯爾克的道路1樓,79,1,1,49,49,1,7,3,,2.7027027027027026,37,742.2732843894676,7,
100270,贝洛宝克尔,43,贝洛宝克尔,726,20507,阿魯姆山的洞窟地下7樓,274,0,0,60,60,1,3,10,,3.225806451612903,31,1270.9138888888858,7,
100271,贝洛宝利,44,贝洛宝利,530,10406,迷幻洞窟,252,0,0,49,49,1,5,8,,3.225806451612903,31,805.231436805555,5,
100274,卡梅兰恩,53,卡梅兰恩,499,11003,柯奧山的小洞窟3樓,234,0,0,49,49,1,7,6,,1.4084507042253522,71,1424.3622484230323,9,
100275,石龟,54,石龟,502,11004,柯奧山的小洞窟4樓,235,0,0,49,49,1,7,8,,2.7777777777777777,36,722.2118442708334,7,
100276,阿哥亚,61,阿哥亚,1203,30010,深紅的洞窟地下6樓,489,0,0,29,49,1,3,9,,0.6850804037734926,145.96826802983975,5984.293521812221,9,
100278,特洛昆,63,特洛昆,174,100,薩伊那斯,49,180,120,315,200,1,5,5,,1.0869565217391304,92,2389.719102777776,9,
100279,达克尔,64,达克尔,178,100,薩伊那斯,49,180,120,315,200,1,5,5,,1.0869565217391304,92,2389.719102777776,7,
100280,拉奇鲁哥,71,拉奇鲁哥,997,300,吉魯島,330,449,517,466,531,1,5,5,,2.4390243902439024,41,1064.9835131944435,5,
100281,呼拔拔,72,呼拔拔,165,100,薩伊那斯,47,434,115,547,176,1,5,5,,3.125,32,831.2066444444438,5,
100282,多萨金格,73,多萨金格,999,300,吉魯島,331,367,456,380,469,1,5,5,,2.4390243902439024,41,1064.9835131944435,3,
100283,鲁尼帖斯,74,鲁尼帖斯,170,100,薩伊那斯,47,434,115,547,176,1,5,5,,3.125,32,831.2066444444438,5,
100284,卡达鲁卡斯,81,卡达鲁卡斯,505,10601,東柯爾克的坑道1樓,237,0,0,49,49,1,2,2,,3.8461538461538463,26,1572.999999999991,5,
100285,柯伊达,82,柯伊达,509,10602,東柯爾克的坑道2樓,238,0,0,49,49,1,7,3,,4.761904761904762,21,421.2902424913195,5,
100286,柯洛加斯,83,柯洛加斯,520,10704,盜賊的洞窟地下4樓,245,0,0,49,49,1,7,5,,2.1739130434782608,46,922.8262454571759,5,
100287,洛奇安,84,洛奇安,1136,21013,琉璃的洞窟13樓,447,0,0,39,39,1,5,5,,0.8763586956521738,114.10852713178295,2963.9926856158463,5,
100288,利则诺顿,91,利则诺顿,1138,21013,琉璃的洞窟13樓,447,0,0,39,39,1,5,5,,0.8763586956521738,114.10852713178295,2963.9926856158463,1,
100289,扬奇洛斯,92,扬奇洛斯,983,300,吉魯島,314,490,78,529,108,1,5,5,,1.2345679012345678,81,2103.9918187499984,3,
100290,邦浦洛斯,93,邦浦洛斯,979,300,吉魯島,332,393,267,406,280,1,5,5,,0.9900990099009901,101,2623.4959715277755,3,
100291,邦奇诺,94,邦奇诺,985,300,吉魯島,315,427,100,459,126,1,5,5,,1.2345679012345678,81,2103.9918187499984,3,
100292,克雷尔,101,克雷尔,382,200,加魯卡,95,262,565,333,686,1,5,2,,30.303030303030305,3.3,85.71818520833327,11,
100293,克克尔,102,克克尔,3,816,新手島,910,14,78,109,169,1,5,5,,62.499999999991985,1.6000000000002053,41.56033222222752,11,
100294,克洛尔,103,克洛尔,378,200,加魯卡,91,384,238,516,415,1,5,8,,2.7777777777777777,36,935.1074749999993,9,
100295,里斯基,104,里斯基,385,200,加魯卡,95,262,565,333,686,1,5,2,,30.303030303030305,3.3,85.71818520833327,11,
100296,卡比特,111,卡比特,257,100,薩伊那斯,58,273,282,353,366,1,5,10,,4.761904761904762,21,545.4793604166663,11,
100297,凯比,112,凯比,2,816,新手島,910,14,78,109,169,1,5,5,,62.499999999991985,1.6000000000002053,41.56033222222752,11,
100298,昆伊,113,昆伊,119,100,薩伊那斯,21,582,399,783,560,1,5,2,,41.66666666666667,2.4,62.34049833333328,11,
100298,昆伊,113,昆伊,119,100,薩伊那斯,22,591,552,685,695,1,5,3,,23.076923076923077,4.333333333333333,112.55923310185176,11,
100298,昆伊,113,昆伊,119,100,薩伊那斯,67,433,306,446,315,1,5,3,,23.076923076923077,4.333333333333333,112.55923310185176,11,
100298,昆伊,113,昆伊,119,100,薩伊那斯,68,433,310,499,315,1,5,3,,23.076923076923077,4.333333333333333,112.55923310185176,11,
100308,格尔顿,141,格尔顿,976,300,吉魯島,309,161,331,191,361,1,5,5,,1.2345679012345678,81,2103.9918187499984,1,
100309,奇拉顿,142,奇拉顿,991,31204,沒落的礦坑4樓,328,0,0,59,59,1,7,5,,1.6129032258064515,62,1243.8092873553242,3,
100310,齐尔格尔顿,143,齐尔格尔顿,1188,300,吉魯島,473,228,58,262,80,1,3,5,,0.7982673267326733,125.27131782945736,5135.776055124879,3,
100321,卡拉宝斯,172,卡拉宝斯,465,20404,哥亞山洞窟4樓,219,0,0,49,49,1,7,5,,2.4390243902439024,41,822.5190448640046,5,
100323,多洛加,174,多洛加,534,10407,迷幻洞窟,253,0,0,49,49,1,5,8,,3.225806451612903,31,805.231436805555,5,
100324,卡克尔,181,卡克尔,406,200,加魯卡,146,63,1067,112,1168,1,5,10,,1.6129032258064515,62,1610.46287361111,7,
100325,巴克,182,巴克,410,200,加魯卡,146,63,1067,112,1168,1,5,10,,1.6129032258064515,62,1610.46287361111,7,
100326,鲍,183,鲍,459,20102,森林洞窟2樓,212,0,0,39,69,1,7,4,,2.4390243902439024,41,822.5190448640046,7,
100327,卡拉卡利,184,卡拉卡利,462,20104,森林洞窟4樓,214,0,0,39,39,1,7,6,,2.4390243902439024,41,822.5190448640046,7,
100328,新手贝鲁卡,191,贝鲁卡,414,200,加魯卡,150,419,619,485,644,1,5,8,,1.098901098901099,91,2363.7438951388867,5,
100329,新手贝鲁伊卡,192,贝鲁伊卡,418,200,加魯卡,147,346,667,360,743,1,5,8,,1.098901098901099,91,2363.7438951388867,5,
100330,新手格鲁西斯,193,格鲁西斯,973,300,吉魯島,308,223,348,246,374,1,5,5,,1.2345679012345678,81,2103.9918187499984,5,
100341,加克拉,222,加克拉,442,10201,海底通路地下1樓,207,18,27,31,41,1,7,10,,2.4390243902439024,41,822.5190448640046,7,
100342,加格,223,加格,446,10203,海底通路地下1樓,206,6,27,18,36,1,7,10,,2.4390243902439024,41,822.5190448640046,7,
100343,邦恩吉,224,邦恩吉,396,200,加魯卡,165,151,673,243,749,1,7,8,,3.225806451612903,31,621.9046436776621,9,
100346,奇卡宝斯,233,奇卡宝斯,1035,31806,阿斯瑪魯礦山6樓,362,3,5,7,9,1,2,5,,0.9900990099009901,101,6110.4999999999645,1,
100347,卡卡金宝,234,卡卡金宝,1682,30601,蛙洞地下1樓,673,0,0,100,100,1,3,5,,0.8407613327509573,118.93981812032392,4876.202154549601,1,
100347,卡卡金宝,234,卡卡金宝,1682,30602,蛙洞地下2樓,674,0,0,100,100,1,3,5,,0.8407613327509573,118.93981812032392,4876.202154549601,1,
100347,卡卡金宝,234,卡卡金宝,1682,30603,蛙洞地下3樓,675,0,0,100,100,1,3,5,,0.8407613327509573,118.93981812032392,4876.202154549601,1,
100347,卡卡金宝,234,卡卡金宝,1682,30604,蛙洞地下4樓,676,0,0,100,100,1,3,5,,0.8407613327509573,118.93981812032392,4876.202154549601,1,
100347,卡卡金宝,234,卡卡金宝,1682,30606,蛙洞通道,677,0,0,100,100,1,3,5,,0.8407613327509573,118.93981812032392,4876.202154549601,1,
100348,邦奇,241,邦奇,1346,21308,水蒼的洞窟地下8樓,595,0,0,39,39,1,3,10,,0.7100954857411899,140.8261311443504,5773.480193220728,7,
100349,姆伊,242,姆伊,1009,31401,奇努伊的海底通路,337,45,27,52,35,1,7,5,,2.1739130434782608,46,922.8262454571759,5,
100350,海主人,243,海主人,438,200,加魯卡,164,39,656,150,804,1,7,8,,1.639344262295082,61,1223.7478472366897,7,
100352,布洛多斯,251,布洛多斯,1557,5507,波拉山谷,658,41,20,47,27,1,5,10,,6.826281097811019,14.64926488773909,380.5176972161069,1,
100353,布林帖斯,252,布林帖斯,1397,32018,漆黑的洞窟地下18樓,628,0,0,59,59,1,3,10,,0.8302392739273927,120.4472049689441,4938.000828157337,1,
100354,布拉奇多斯,253,布拉奇多斯,1065,400,沙姆島,1284,0,77,149,148,1,3,10,,1.8867924528301887,53,2172.8527777777726,1,
100356,玛恩摩,261,玛恩摩,1052,31904,吉魯採石場3樓,381,18,13,24,20,1,3,5,,0.9900990099009901,101,4140.719444444434,3,
100357,恩摩摩,262,恩摩摩,1056,31906,吉魯採石場5樓,380,21,25,29,33,1,3,5,,0.9900990099009901,101,4140.719444444434,3,
100358,玛摩那斯,263,玛摩那斯,987,300,吉魯島,378,112,37,162,74,1,3,5,,0.8264462809917356,121,4960.6638888888765,3,
100359,玛恩摩洛斯,264,玛恩摩洛斯,989,300,吉魯島,379,93,121,117,157,1,3,5,,3.225806451612903,31,1270.9138888888858,1,
100362,加宝格恩,273,加宝格恩,1368,30702,地下2樓,605,0,0,59,59,1,3,5,,0.6462127694250906,154.74779319041613,6344.229665825962,1,
100368,火鸡,291,火鸡,190,100,薩伊那斯,38,547,115,699,241,1,5,3,,0.6097560975609756,164,4259.934052777774,9,
100369,克克洛斯,292,克克洛斯,398,200,加魯卡,138,602,616,695,722,1,5,8,,3.125,32,831.2066444444438,7,
100370,霍尔克,293,霍尔克,402,200,加魯卡,138,602,616,695,722,1,5,8,,3.125,32,831.2066444444438,9,
100371,奇宝,294,奇宝,194,100,薩伊那斯,38,547,115,699,241,1,5,3,,0.6097560975609756,164,4259.934052777774,9,
100372,奥卡洛斯,301,奥卡洛斯,1037,31806,阿斯瑪魯礦山6樓,363,36,36,39,39,1,2,5,,1.9607843137254901,51,3085.4999999999823,1,
100384,拉可拉斯,325,拉可拉斯,1395,32019,漆黑的洞窟地下19樓,629,0,0,59,59,1,3,10,,0.7554429429429429,132.37267080745343,5426.911801242223,3,
100385,邦洛洛克斯,331,邦洛洛克斯,153,100,薩伊那斯,37,365,440,416,486,1,6,8,,3.571428571428571,28,628.6591386574064,7,
100386,兰贝鲁斯,332,兰贝鲁斯,523,10702,盜賊的洞窟地下2樓,243,0,0,49,49,1,7,5,,2.1739130434782608,46,922.8262454571759,5,
100387,可利多洛斯,333,可利多洛斯,469,20405,哥亞山洞窟5樓,220,0,0,49,49,1,7,5,,2.4390243902439024,41,822.5190448640046,7,
100390,洛克斯,85,洛克斯,477,30692,天空之島水之界,695,1,1,80,80,1,3,10,,24.167124683062386,4.137852612234229,169.64046306656897,-1,
100391,阿伊萨,86,阿伊萨,1386,32009,漆黑的洞窟地下9樓,619,0,0,59,59,1,3,10,,0.8302392739273927,120.4472049689441,4938.000828157337,7,
100392,格洛格鲁,87,格洛格鲁,1390,32011,漆黑的洞窟地下11樓,621,0,0,59,59,1,3,10,,0.8302392739273927,120.4472049689441,4938.000828157337,7,
100393,朵洛将恩,88,朵洛将恩,1382,32005,漆黑的洞窟地下5樓,615,0,0,59,59,1,3,10,,0.8302392739273927,120.4472049689441,4938.000828157337,5,
100394,柏克尔,65,柏克尔,1092,41,夢幻的洞窟,408,36,51,65,63,1,5,10,,1.639344262295082,61,1584.4876659722208,7,
100395,布鲁顿,95,布鲁顿,981,300,吉魯島,333,403,346,418,363,1,5,5,,0.9900990099009901,101,2623.4959715277755,3,
100396,布鲁宝,175,布鲁宝,1169,119,迷宮,431,0,0,199,199,0,1,8,,1.7867107780612246,55.968767428890125,6772.220858895666,5,
100824,布依布鲁,728,布依布鲁,1561,100,薩伊那斯,40,539,297,587,374,1,5,5,,5.080721747388415,19.682242990654203,511.2503484813079,11,
100826,布依胖,905,雷尔胖,1798,7000,伊甸園,777,119,57,132,82,1,3,5,19720,40.18775720164608,2.4883200000000008,102.01420799999977,-1,
100826,布依胖,905,雷尔胖,1798,7000,伊甸園,778,72,167,94,186,1,3,5,19733,2.9602988020000054,33.78037376917461,1384.9014901645744,-1,
100827,加加,731,加加,1564,703,伊甸大陸南方,742,155,178,163,193,1,3,10,,0.7349242163919966,136.068451371674,5578.428538318143,11,
100830,比比加,734,比比加,1568,703,伊甸大陸南方,741,14,213,18,218,1,3,10,,1.2436880304178446,80.40601626309999,3296.423316741916,11,
100831,乌宝依,735,乌宝依,1569,707,伊甸大陸北方,768,335,129,341,133,1,3,10,,0.4467186413363116,223.85454903081853,9177.414692071785,-1,
100832,威斯,736,威斯,1570,703,伊甸大陸南方,739,30,70,38,75,1,3,10,,0.7349242163919966,136.068451371674,5578.428538318143,11,
100833,威比,737,威比,1571,703,伊甸大陸南方,738,34,91,45,104,1,3,10,,0.7349242163919966,136.068451371674,5578.428538318143,11,
100835,贝洛金,739,贝洛金,1573,60300,蒙達村地下通路,847,1,1,60,40,1,5,10,,0.5984794080928032,167.0901264901891,4340.200729990867,11,
100839,蓝龟,743,蓝龟,1577,60009,水龍洞窟,888,30,32,46,51,1,3,5,,0.8480064516129031,117.92363113488183,4834.541310888102,11,
100841,龟之钢,745,龟之钢,1579,60300,蒙達村地下通路,847,1,1,60,40,1,5,10,,0.5984794080928032,167.0901264901891,4340.200729990867,11,
100843,尼加斯,747,尼加斯,1581,700,伊甸園區,707,300,72,300,89,1,3,5,,0.9924981592640282,100.75585437272092,4130.71015190829,11,
100847,呼鲁鲁,751,呼鲁鲁,1585,700,伊甸園區,708,75,200,80,220,1,3,5,,1.3026538340340372,76.7663652363588,3147.2077347872682,11,
100848,鲁拉其斯,752,鲁拉其斯,1586,708,塔耳塔城區,772,101,91,108,97,1,3,10,,0.5556744075158998,179.96150020124625,7377.921615194963,11,
100851,杨格斯,755,杨格斯,1660,60341,火山洞窟第4層,854,26,14,29,16,1,3,5,,0.2850359719709207,350.83291174982634,14383.174845876872,-1,
100854,拉斯基,758,拉斯基,1591,706,弗烈頓城區,766,121,312,125,316,1,3,10,,0.4467186413363116,223.85454903081853,9177.414692071785,11,
100856,克达达,760,克达达,1593,200,加魯卡,187,594,453,661,514,1,6,10,,5.523894745626569,18.1031689785858,406.4543791802582,-1,
100858,昆依特,762,昆依特,1595,708,塔耳塔城區,773,205,144,212,148,1,3,10,,0.9403494864134921,106.34344086409999,4359.785676981244,11,
100860,可卡特,764,可卡特,1597,708,塔耳塔城區,774,334,213,340,220,1,3,10,,0.9403494864134921,106.34344086409999,4359.785676981244,11,
100861,司尔顿,765,司尔顿,1598,7352,蒙達山,858,11,24,18,26,1,3,5,,1.5115165382394402,66.1587203779301,2712.323761271855,11,
100862,格尔希洛,766,格尔希洛,1599,31203,沒落的礦坑3樓,913,4,34,9,43,1,3,5,,1.2551440329218109,79.67213114754098,3266.336065573762,11,
100864,戈登尔顿,768,戈登尔顿,1601,11210,玄黃的洞窟地下10樓,914,38,27,45,37,1,5,5,,0.6380974264705882,156.71588044652503,4070.7275349097713,-1,
100866,瑞德宝,770,瑞德宝,1603,707,伊甸大陸北方,767,95,185,104,191,1,3,10,,0.4467186413363116,223.85454903081853,9177.414692071785,-1,
100868,欧林吉鲁,772,欧林吉鲁,1605,706,弗烈頓城區,764,69,268,72,273,1,3,10,,0.4467186413363116,223.85454903081853,9177.414692071785,11,
100869,史凯鲁,773,史凯鲁,1606,701,伊甸大陸西方,712,290,184,325,215,1,3,10,,0.8940423867587675,111.85152010805302,4585.601625763195,11,
100870,耶普鲁,774,耶普鲁,1607,706,弗烈頓城區,765,101,289,103,293,1,3,10,,0.4467186413363116,223.85454903081853,9177.414692071785,11,
100871,芭拉芭,775,芭拉芭,1608,701,伊甸大陸西方,713,270,200,310,235,1,3,10,,1.187710034879382,84.1956345095253,3451.7871381280024,11,
100875,玛斯贝卡,779,玛斯贝卡,1612,7402,凱村,859,18,118,20,121,1,3,10,,1.8583017126203718,53.81257484770384,2206.1660893812755,11,
100879,玻洛布斯,783,玻洛布斯,1616,708,塔耳塔城區,775,245,317,251,324,1,3,10,,0.9403494864134921,106.34344086409999,4359.785676981244,11,
100881,砂鲨,785,砂鲨,1618,60301,蒙達山海底通道,846,1,1,100,40,1,5,10,,0.5984794080928032,167.0901264901891,4340.200729990867,11,
100883,梅鲁莎,787,梅鲁莎,1620,31301,吉魯的海底通路,907,31,24,38,48,1,3,10,,0.5668638302602738,176.4092091641926,7232.287550150866,-5,
100885,裘里蛙,789,裘里蛙,1622,701,伊甸大陸西方,728,80,138,196,145,1,3,5,,0.780137568123582,128.18252073223954,5255.127287464219,11,
100886,艾尔蛙,790,艾尔蛙,1623,701,伊甸大陸西方,729,91,18,97,24,1,3,5,,0.780137568123582,128.18252073223954,5255.127287464219,11,
100887,里昂蛙,791,里昂蛙,1624,30693,天空之島火之界,696,1,1,80,80,1,3,10,,15.601054899525849,6.409822966717413,262.7849365716168,-1,
100890,玛斯特,794,玛斯特,1627,702,尼克斯城區,734,306,49,309,57,1,3,5,,0.5898601124836841,169.53172096844585,6950.329638259128,11,
100892,嘎吱拉,796,嘎吱拉,1629,60052,庫塔伊洞窟地下4樓,882,20,38,25,59,1,3,5,20247,0.035940865379604225,2782.348141699118,114068.5450648255,-1,20247
100892,嘎吱拉,796,嘎吱拉,1629,60052,庫塔伊洞窟地下4樓,883,6,44,12,61,1,3,5,20247,0.035940865379604225,2782.348141699118,114068.5450648255,-1,20247
100894,蒙哥拉斯,798,蒙哥拉斯,1631,7402,凱村,856,77,49,79,51,1,3,10,,0.9408062758541107,106.29180795931131,4357.668871309644,-1,
100900,克洛恩,804,克洛恩,1637,60065,薩伊洛山洞第3層,908,71,4,76,17,1,3,5,,0.6897671641791041,144.97645755435542,5943.632047346462,-1,
100902,迪布恩,806,迪布恩,1639,30701,地下1樓,904,22,39,39,55,1,3,5,,1.1684782608695652,85.5813953488372,3508.5994832041256,11,
100903,格里兰,807,格里兰,1640,705,伊甸大陸東方,759,134,221,140,226,1,3,10,,0.9403494864134921,106.34344086409999,4359.785676981244,11,
100906,塔斯夫,810,塔斯夫,1643,700,伊甸園區,709,130,65,130,80,1,3,5,,0.9924981592640282,100.75585437272092,4130.71015190829,11,
100907,朵巴奈特,811,朵巴奈特,1644,8016,新手試練洞窟地下1樓,976,1,1,60,60,1,5,10,,5.514024391298846,18.135574474026708,471.0753126133765,-1,
100907,朵巴奈特,811,朵巴奈特,1644,8017,新手試練洞窟地下2樓,977,1,1,50,50,1,5,10,,5.514024391298846,18.135574474026708,471.0753126133765,-1,
100908,斑尼迪克,812,斑尼迪克,1645,8016,新手試練洞窟地下1樓,976,1,1,60,60,1,5,10,,5.514024391298846,18.135574474026708,471.0753126133765,-5,20259
100908,斑尼迪克,812,斑尼迪克,1645,8017,新手試練洞窟地下2樓,977,1,1,50,50,1,5,10,,5.514024391298846,18.135574474026708,471.0753126133765,-5,20259
100908,斑尼迪克,812,斑尼迪克,1645,60054,帕拉火之眼,876,55,60,62,75,1,3,10,20259,0.05075788575309847,1970.137221365561,80770.15347259512,-5,20259
100908,斑尼迪克,812,斑尼迪克,1645,60054,帕拉火之眼,877,43,14,48,28,1,3,10,20259,0.05075788575309847,1970.137221365561,80770.15347259512,-5,20259
100909,阿米朵,813,阿米朵,1646,8016,新手試練洞窟地下1樓,976,1,1,60,60,1,5,10,,5.514024391298846,18.135574474026708,471.0753126133765,11,
100909,阿米朵,813,阿米朵,1646,8017,新手試練洞窟地下2樓,977,1,1,50,50,1,5,10,,5.514024391298846,18.135574474026708,471.0753126133765,11,
100910,邦司凉朵,814,邦司凉朵,1647,8016,新手試練洞窟地下1樓,976,1,1,60,60,1,5,10,,5.514024391298846,18.135574474026708,471.0753126133765,11,
100910,邦司凉朵,814,邦司凉朵,1647,8017,新手試練洞窟地下2樓,977,1,1,50,50,1,5,10,,5.514024391298846,18.135574474026708,471.0753126133765,11,
100911,布莱兹,815,布莱兹,1648,5540,波拉島,906,446,492,484,538,1,3,5,,0.34589736842105256,289.10309568551673,11852.423858951475,-1,
100913,伊夫霍恩,817,伊夫霍恩,1650,5540,波拉島,905,197,348,237,390,1,3,5,,0.8402618181818178,119.01052485805296,4879.100934388887,11,
100914,莱姆洛斯,818,莱姆洛斯,1651,702,尼克斯城區,733,141,46,142,55,1,3,5,,0.5898601124836841,169.53172096844585,6950.329638259128,11,
100915,朱利洛斯,819,朱利洛斯,1652,704,亞伊歐城區,757,160,350,165,355,1,3,5,,0.3270845509117957,305.7313459814457,12534.135931500405,11,
100916,辛普洛斯,820,辛普洛斯,1653,500,五十年前波拉島,915,205,304,212,312,1,5,5,,0.8941683743169399,111.83576032465983,2904.9570958860486,-1,
100917,立杜鲁斯,821,立杜鲁斯,1654,704,亞伊歐城區,744,244,272,248,277,1,3,5,,0.47420126689864794,210.88092120465214,8645.531989054038,11,
101533,史卡鲁,1110,史卡鲁,2138,817,淚之海海底,1031,331,226,337,234,1,3,10,,1.1810446009389672,84.67080745341615,3471.267908902683,11,
101534,史卡特,1109,史卡特,2137,817,淚之海海底,1032,116,273,122,280,1,3,10,,1.0352366255144032,96.59627329192547,3960.178881987568,11,
101535,洛安奇,1111,洛安奇,2139,8003,史東爾洞窟地下3樓,992,10,31,24,51,1,3,10,,2.1953601371951224,45.55061299772159,1867.4486034260315,-1,
101539,西柏克,1073,西柏克,2089,817,淚之海海底,1042,299,122,309,125,1,3,10,,1.184339021381579,84.43528262992297,3461.612045375083,-1,
101540,特利斯克,1074,特利斯克,2090,817,淚之海海底,961,375,205,380,209,1,3,10,,1.148687214611872,87.05590062111803,3569.0501035196603,-1,
101541,沙瓦克,1087,沙瓦克,2103,817,淚之海海底,965,149,319,159,332,1,3,10,,1.0352366255144032,96.59627329192547,3960.178881987568,-1,
101550,那尔斯,1081,那尔斯,2097,817,淚之海海底,960,316,88,321,96,1,3,10,,4.286179315476191,23.33080177932082,956.4980651694309,-5,
101551,塔克,1083,塔克,2099,8014,沙己夫洞窟地下5樓,991,4,8,10,15,1,3,10,,0.8302392739273927,120.4472049689441,4938.000828157337,-1,
101552,奥特普,1084,奥特普,2100,817,淚之海海底,958,223,114,238,117,1,3,10,,1.3746584699453552,72.74534161490683,2982.356935817798,11,
101554,布斯迪,1086,布斯迪,2102,817,淚之海海底,963,68,121,73,133,1,3,10,,4.286179315476191,23.33080177932082,956.4980651694309,11,
101555,特雷沙,1092,特雷沙,2109,817,淚之海海底,962,46,155,61,163,1,3,10,,1.148687214611872,87.05590062111803,3569.0501035196603,-1,
101559,康尔特,1079,康尔特,2095,817,淚之海海底,957,97,88,104,92,1,3,10,,3.9930555555555554,25.043478260869566,1026.7130434782584,0,
101560,伯洛西,1080,伯洛西,2096,817,淚之海海底,1043,234,44,242,59,1,3,10,,1.4755699282786887,67.77042421612238,2778.3991416826325,-5,
101563,卡特,1066,卡特,2082,8000,史東爾換氣道,1035,25,32,29,37,1,3,10,,1.575428050947385,63.47481241042072,2602.2909899038805,-1,
101564,卡伯,1065,卡伯,2081,817,淚之海海底,956,154,53,155,59,1,3,10,,4.286179315476191,23.33080177932082,956.4980651694309,11,
101565,夏普德,1105,夏普德,2133,817,淚之海海底,996,142,72,153,84,1,3,5,1692,1.3217213114754098,75.65891472868216,3101.805340223937,11,1690|1691|1692
101568,伊克多,1098,伊克多,2126,817,淚之海海底,959,309,133,321,137,1,3,10,,1.863425925925926,53.66459627329192,2200.099378881982,11,
101569,奇格拉,1067,奇格拉,2083,817,淚之海海底,964,209,383,217,391,1,3,10,,1.4755699282786887,67.77042421612238,2778.3991416826325,-5,
101570,多格斯,1068,多格斯,2084,8009,沙己夫換氣道,1037,32,22,39,26,1,3,10,,1.575428050947385,63.47481241042072,2602.2909899038805,11,
101577,罗多克雷,1095,罗多克雷,2119,817,淚之海海底,1044,323,22,336,39,1,3,10,,0.8302392739273927,120.4472049689441,4938.000828157337,0,
101578,罗特克拉,1096,罗特克拉,2120,817,淚之海海底,1045,146,431,161,438,1,3,10,,0.6930096418732782,144.29813664596273,5915.822774327107,11,
